reward_mean,mrr_mean,recall_mean,recall_dense_mean,rank_bonus_mean,main_reward_mean,orig_mrr20_mean,rewrite_mrr20_mean,orig_recall20_mean,rewrite_recall20_mean,rewrite_recall50_mean,delta_mrr20_mean,delta_recall20_mean,delta_recall50_mean,orig_rank_bonus_mean,delta_rank_bonus_mean,anchor_bonus_mean,keyword_preserve_mean,recall_drop_penalty_mean,overedit_penalty_mean,bad_format_penalty_mean,unsafe_copy_penalty_mean,nonzero_reward_ratio,nonzero_mrr20_ratio,nonzero_recall20_ratio,delta_mrr20_positive_ratio,delta_recall20_positive_ratio,anchor_hit_ratio,recall_drop_ratio,adv_mean,adv_std,unique_final_query_mean,generated_sample_count_mean,generated_sample_count_max,extra_sample_ratio,reward_gap_raw_mean,reward_gap_met_ratio,max_group_size_hit_ratio,collapsed_group_ratio,all_same_final_query_ratio,flat_reward_group_ratio,flat_mrr20_group_ratio,flat_main_reward_group_ratio,flat_reward_skipped_group_ratio,flat_main_reward_skipped_group_ratio,trainable_group_ratio,best_reward_hit_best_mrr20_ratio,sampled,valid_samples,rollout_batch_prompt_count_mean,rollout_batch_prompt_count_min,rollout_batch_prompt_count_max,rollout_batch_call_count,rollout_batch_total_prompts,rollout_batch_expected_prompts,rollout_batch_fallback_split_count,loss,loss_pg,loss_pg_abs_mean,loss_kl,kl_dominance_ratio,updated,phase,epoch,step,timestamp_utc,count,stage,stage_idx,stage_step,global_step,time
-0.12364100160478275,0.2415922691525325,0.6419213973799127,0.8078602620087336,0.3681222707423581,0.0015505143028903678,0.22866342779006535,0.2415922691525325,0.7117903930131004,0.6419213973799127,0.8078602620087336,0.012928841362467169,-0.06986899563318777,-0.08733624454148471,0.3903930131004367,-0.022270742358078605,0.0,0.8127538642822486,0.12445414847161572,0.00430442919525889,0.002183406113537118,0.0,0.5807860262008734,0.6681222707423581,0.6681222707423581,0.22270742358078602,0.013100436681222707,0.0,0.08296943231441048,-0.03135780918546119,0.8386718034744263,5.583333333333333,9.541666666666666,12.0,0.1615720524017467,0.6461825396825397,0.625,0.375,0.08333333333333333,0.08333333333333333,0.25,0.3333333333333333,0.2916666666666667,0.16666666666666666,0.16666666666666666,0.75,1.0,229.0,157.0,24.0,24.0,24.0,8.0,192.0,192.0,0.0,-0.0032123215259260434,-0.0032244255398489107,0.7187078465132197,1.2104042801949218e-05,0.0001263128639517026,1.0,train,1,1,2026-04-22T06:59:39.106223+00:00,,Stage 1,1,1,1,2026-04-22 06:59:39.106223+00:00
-0.05721164331845792,0.2946858010893905,0.7678571428571429,0.8660714285714286,0.4408482142857143,0.037478832872018274,0.2580286281179138,0.2946858010893905,0.8035714285714286,0.7678571428571429,0.8660714285714286,0.03665717297147665,-0.03571428571428571,-0.044642857142857144,0.4428571428571429,-0.0020089285714285725,0.0,0.794717261904762,0.09375,0.011755952380952383,0.0,0.0,0.6919642857142857,0.7678571428571429,0.7678571428571429,0.29910714285714285,0.026785714285714284,0.0,0.0625,0.04011192139504211,0.902296245098114,5.541666666666667,9.333333333333334,12.0,0.14285714285714285,0.4674361020923521,0.6666666666666666,0.3333333333333333,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.20833333333333334,0.16666666666666666,0.125,0.125,0.8333333333333334,1.0,224.0,176.0,24.0,24.0,24.0,8.0,192.0,192.0,0.0,0.0033773173662749205,0.003423030022531748,0.7917375893501396,-4.5712564606907463e-05,0.0004046535360072914,1.0,train,1,2,2026-04-22T07:04:36.153647+00:00,,Stage 1,1,2,2,2026-04-22 07:04:36.153647+00:00
-0.10502330508474576,0.2355207404103479,0.5621468926553672,0.7182203389830508,0.350635593220339,-0.0017238700564971704,0.2796610169491525,0.2355207404103479,0.6045197740112994,0.5621468926553672,0.7182203389830508,-0.04414027653880464,-0.0423728813559322,-0.033192090395480225,0.38389830508474576,-0.033262711864406776,0.0,0.7784301856335755,0.1016949152542373,0.020056497175141245,0.0,0.0,0.5423728813559322,0.5932203389830508,0.5932203389830508,0.08050847457627118,0.025423728813559324,0.0,0.08898305084745763,-0.030427972770343394,0.8132337331771851,5.5,9.833333333333334,12.0,0.1864406779661017,0.4244770171957672,0.5833333333333334,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.2916666666666667,0.4583333333333333,0.3333333333333333,0.20833333333333334,0.20833333333333334,0.7083333333333334,1.0,236.0,152.0,24.0,24.0,24.0,8.0,192.0,192.0,0.0,0.0075210403454931156,0.007520321854635289,0.748030702044305,7.235305596291135e-07,0.0007309752348618609,1.0,train,1,3,2026-04-22T07:08:38.946462+00:00,,Stage 1,1,3,3,2026-04-22 07:08:38.946462+00:00
-0.2726692200174553,0.26054831950910384,0.6888888888888889,0.74,0.358,-0.044929960758196046,0.27521780688447356,0.26054831950910384,0.84,0.6888888888888889,0.74,-0.014669487375369727,-0.1511111111111111,-0.13555555555555557,0.41733333333333333,-0.059333333333333335,0.0,0.8041904761904762,0.22666666666666666,0.013407407407407411,0.0,0.0,0.6,0.6977777777777778,0.6977777777777778,0.2222222222222222,0.0,0.0,0.16,-0.06383066362804837,0.8450574278831482,5.958333333333333,9.375,12.0,0.14666666666666667,0.9842584186646687,0.7083333333333334,0.2916666666666667,0.08333333333333333,0.08333333333333333,0.25,0.2916666666666667,0.25,0.16666666666666666,0.16666666666666666,0.75,1.0,225.0,153.0,24.0,24.0,24.0,8.0,192.0,192.0,0.0,0.006155471786174899,0.0061380608993418075,0.7692689532353207,1.741256708131642e-05,0.0010738016822845742,1.0,train,1,4,2026-04-22T07:12:36.902479+00:00,,Stage 1,1,4,4,2026-04-22 07:12:36.902479+00:00
-0.14063731708311353,0.31731157724695214,0.75,0.8694690265486725,0.45,0.003035249288567875,0.3287698173585458,0.31731157724695214,0.8185840707964602,0.75,0.8694690265486725,-0.01145824011159363,-0.06858407079646017,-0.07743362831858407,0.4592920353982301,-0.009292035398230088,0.0,0.8,0.1426991150442478,0.012168141592920354,0.0,0.0,0.6858407079646017,0.7522123893805309,0.7522123893805309,0.11946902654867257,0.03982300884955752,0.0,0.09734513274336283,-0.09532232958806959,0.8540323972702026,6.0,9.416666666666666,12.0,0.1504424778761062,0.6657691544566545,0.6666666666666666,0.3333333333333333,0.041666666666666664,0.041666666666666664,0.25,0.3333333333333333,0.25,0.20833333333333334,0.20833333333333334,0.75,1.0,226.0,154.0,24.0,24.0,24.0,8.0,192.0,192.0,0.0,0.0038706737361824165,0.0038060768161198824,0.7660498733567256,6.459769985015071e-05,0.001266283577905598,1.0,train,1,5,2026-04-22T07:16:57.316013+00:00,,Stage 1,1,5,5,2026-04-22 07:16:57.316013+00:00
-0.07718124500276906,0.2509888663030374,0.6818181818181818,0.7840909090909091,0.38977272727272727,0.0395823913608673,0.1736787454969273,0.2509888663030374,0.6727272727272727,0.6818181818181818,0.7840909090909091,0.0773101208061101,0.00909090909090909,-0.1431818181818182,0.34272727272727277,0.04704545454545454,0.0,0.8146753246753247,0.1159090909090909,0.010681818181818183,0.0,0.0,0.6681818181818182,0.7,0.7,0.45,0.08636363636363636,0.0,0.07727272727272727,0.08755041618238796,0.9190921187400818,5.625,9.166666666666666,12.0,0.12727272727272726,0.6984181704733176,0.7083333333333334,0.2916666666666667,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.2916666666666667,0.20833333333333334,0.125,0.125,0.8333333333333334,1.0,220.0,172.0,24.0,24.0,24.0,8.0,192.0,192.0,0.0,-0.001831414567869763,-0.002068536052870196,0.8316272327373194,0.0002371194880679944,0.0013991837208505678,1.0,train,1,6,2026-04-22T07:20:39.198200+00:00,,Stage 1,1,6,6,2026-04-22 07:20:39.198200+00:00
-0.02703643571726821,0.17458817838304377,0.614406779661017,0.7443502824858756,0.3177966101694915,0.017777123604765684,0.1620762711864407,0.17458817838304377,0.6313559322033898,0.614406779661017,0.7443502824858756,0.01251190719660311,-0.01694915254237288,-0.06214689265536723,0.3203389830508475,-0.0025423728813559333,0.0,0.8507768361581921,0.04449152542372881,0.004025423728813559,0.0,0.0,0.5805084745762712,0.614406779661017,0.614406779661017,0.09745762711864407,0.012711864406779662,0.0,0.029661016949152543,-4.1041333796614307e-10,0.7702078819274902,5.125,9.833333333333334,12.0,0.1864406779661017,0.49326470588235294,0.6666666666666666,0.3333333333333333,0.125,0.125,0.3333333333333333,0.5,0.3333333333333333,0.20833333333333334,0.20833333333333334,0.6666666666666666,1.0,236.0,140.0,24.0,24.0,24.0,8.0,192.0,192.0,0.0,0.011411660883043493,0.011090295974697385,0.715048478863069,0.0003213647096503434,0.0023916544779134163,1.0,train,1,7,2026-04-22T07:25:01.902146+00:00,,Stage 1,1,7,7,2026-04-22 07:25:01.902146+00:00
-0.23042271774544135,0.10235159263425941,0.4383561643835616,0.639269406392694,0.19794520547945207,-0.036349223507563554,0.13426074846406497,0.10235159263425941,0.5616438356164384,0.4383561643835616,0.639269406392694,-0.03190915582980556,-0.1232876712328767,-0.0319634703196347,0.2493150684931507,-0.05136986301369863,0.0,0.7755599043270276,0.1917808219178082,0.028658404000869758,0.0,0.0,0.4383561643835616,0.4383561643835616,0.4383561643835616,0.1963470319634703,0.0045662100456621,0.0,0.1278538812785388,1.091390984243454e-07,0.9141201972961426,6.0,9.125,12.0,0.1232876712328767,0.8741510087135088,0.75,0.25,0.041666666666666664,0.041666666666666664,0.125,0.4166666666666667,0.20833333333333334,0.08333333333333333,0.08333333333333333,0.875,1.0,219.0,183.0,24.0,24.0,24.0,8.0,192.0,192.0,0.0,0.008435514292430356,0.008203908149661914,0.7436078334929513,0.0002316043786626028,0.0025201376238933797,1.0,train,1,8,2026-04-22T07:29:16.091465+00:00,,Stage 1,1,8,8,2026-04-22 07:29:16.091465+00:00
-0.15000725262984876,0.15203083367936607,0.4855769230769231,0.6442307692307693,0.2694711538461539,0.002015183267587118,0.1298375376310599,0.15203083367936607,0.5192307692307693,0.4855769230769231,0.6442307692307693,0.02219329604830617,-0.03365384615384615,-0.10576923076923077,0.22115384615384615,0.048317307692307694,0.0,0.7741815476190476,0.15144230769230768,0.007251602564102566,0.0,0.0,0.4951923076923077,0.4855769230769231,0.4855769230769231,0.21634615384615385,0.0673076923076923,0.0,0.10096153846153846,-0.034523765986355454,0.8880867958068848,5.375,8.666666666666666,12.0,0.07692307692307693,0.7756656491656492,0.8333333333333334,0.16666666666666666,0.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,1.0,208.0,160.0,24.0,24.0,24.0,8.0,192.0,192.0,0.0,-0.002933932142332196,-0.003809631755575538,0.7914630847517401,0.0008756999708754876,0.0029594086191522713,1.0,train,1,9,2026-04-22T07:33:06.849891+00:00,,Stage 1,1,9,9,2026-04-22 07:33:06.849891+00:00
-0.15615609339269204,0.22335731749275392,0.45161290322580644,0.592741935483871,0.3278225806451613,-0.008720609521724314,0.2538402457757296,0.22335731749275392,0.5483870967741935,0.45161290322580644,0.592741935483871,-0.03048292828297572,-0.0967741935483871,-0.004032258064516129,0.3790322580645161,-0.05120967741935484,0.0,0.7879704301075269,0.14516129032258066,0.021370967741935486,0.0,0.004032258064516129,0.3911290322580645,0.45161290322580644,0.45161290322580644,0.0846774193548387,0.0,0.0,0.0967741935483871,-0.010839957924139115,0.74031662940979,5.583333333333333,10.333333333333334,12.0,0.22580645161290322,0.3394454365079365,0.4583333333333333,0.5416666666666666,0.08333333333333333,0.08333333333333333,0.4583333333333333,0.625,0.5833333333333334,0.375,0.375,0.5416666666666666,1.0,248.0,116.0,24.0,24.0,24.0,8.0,192.0,192.0,0.0,0.008384513058539095,0.0073544659234326465,0.7811184179937017,0.0010300506010868706,0.0039807400295463384,1.0,train,1,10,2026-04-22T07:37:05.104862+00:00,,Stage 1,1,10,10,2026-04-22 07:37:05.104862+00:00
