stage,groups,reward_gap_met_rate,collapsed_group_rate,mean_generated_sample_count,mean_extra_sample_count,mean_gap_sampling_rounds,mean_unique_final_query_count,mean_unique_final_query_ratio,mean_reward_gap_raw,median_reward_gap_raw,mean_group_reward,mean_group_mrr,mean_group_recall,mean_group_delta_mrr,mean_group_delta_recall,mean_group_keyword_preserve,stop_threshold_reached_rate,stop_max_group_size_reached_rate,stop_collapsed_group_rate
Stage 1,2400,0.6008333333333333,0.0325,9.7975,1.7975,1.7975,5.819166666666667,0.6106301557239058,0.5119232698905125,0.14814285714285716,-0.08720367478589147,0.20771639458321178,0.6105219381313132,0.004607350208397274,-0.01513778409090909,0.8444934403366695,0.6008333333333333,0.39916666666666667,0.0
Stage 2,1440,0.4097222222222222,0.009722222222222222,10.570833333333333,2.5708333333333333,2.5708333333333333,6.446527777777778,0.6183791035353535,0.2681735306030972,0.008279220779220777,-0.006887989459968947,0.2231277247926166,0.5597855289001122,0.0036897319850095027,0.003535528900112233,0.9060766565780354,0.4097222222222222,0.5902777777777778,0.0
