reward_mean,mrr_mean,recall_mean,recall_dense_mean,term_preserve_mean,keyword_preserve_mean,locked_term_preserve_mean,length_score_mean,clean_format_mean,bad_format_penalty_mean,unsafe_copy_penalty_mean,nonzero_reward_ratio,adv_mean,adv_std,unique_final_query_mean,generated_sample_count_mean,generated_sample_count_max,extra_sample_ratio,reward_gap_raw_mean,reward_gap_met_ratio,max_group_size_hit_ratio,collapsed_group_ratio,all_same_final_query_ratio,flat_reward_group_ratio,sampled,valid_samples,loss,loss_pg,loss_pg_abs_mean,loss_kl,kl_dominance_ratio,updated,phase,epoch,step,timestamp_utc,global_step_idx,valid_ratio,qid_rows,trace_reward_mean,trace_mrr_mean,trace_recall_mean,trace_recall_dense_mean,trace_term_preserve_mean,trace_keyword_preserve_mean,trace_locked_term_preserve_mean,trace_length_score_mean,trace_clean_format_mean,trace_bad_format_penalty_mean,trace_unsafe_copy_penalty_mean,trace_row_reward_mean_avg,trace_row_reward_max_avg,trace_unique_final_query_mean,trace_fallback_ratio,trace_flat_reward_group_ratio,trace_all_same_final_query_ratio,reward_gap_threshold_mean,initial_group_size_mean,extra_sample_count_mean
0.5024645178236807,0.17147150518191243,0.5934065934065934,0.6483516483516484,0.9006639194139193,0.8013278388278389,1.0,0.7234432234432234,1.0,0.0,0.0,1.0,0.08661946773037806,0.8858715295791626,3.3333333333333335,15.166666666666666,16.0,0.2087912087912088,0.06092665912518852,0.20833333333333334,0.7916666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,364.0,300.0,-0.09593862041831017,-0.09592757768929004,0.7300278738389413,-1.1038255358712945e-05,6.589990629550385e-05,1.0,train,1,1,2026-04-20T08:02:36.119441+00:00,1,0.8241758241758241,24,0.5024645178236807,0.17147150518191243,0.5934065934065934,0.6483516483516484,0.9006639194139193,0.8013278388278389,1.0,0.7234432234432234,1.0,0.0,0.0,0.5092498506434627,0.5415858967942301,3.3333333333333335,0.0,0.3333333333333333,0.16666666666666666,0.08,12.0,3.1666666666666665
0.438006943186637,0.1386018328524372,0.48904109589041095,0.4945205479452055,0.844703196347032,0.7277625570776256,0.9616438356164384,0.7041095890410959,1.0,0.0,0.0027397260273972603,1.0,0.011305912737160513,0.9102388024330139,3.5,15.208333333333334,16.0,0.21095890410958903,0.07105423987776928,0.25,0.75,0.20833333333333334,0.20833333333333334,0.20833333333333334,365.0,285.0,0.008241957727525579,0.007782112976960969,0.6924411464678614,0.0004598452546536074,0.00169698748904515,1.0,train,1,2,2026-04-20T08:10:13.592554+00:00,2,0.7808219178082192,24,0.438006943186637,0.1386018328524372,0.48904109589041095,0.4945205479452055,0.844703196347032,0.7277625570776256,0.9616438356164384,0.7041095890410959,1.0,0.0,0.0027397260273972603,0.44252769315039536,0.4861596967846968,3.5,0.0,0.20833333333333334,0.20833333333333334,0.08,12.0,3.2083333333333335
0.45655239381336404,0.10062866971859531,0.5666666666666667,0.5972222222222222,0.9034722222222222,0.8097222222222222,0.9972222222222222,0.6657407407407407,1.0,0.0,0.002777777777777778,1.0,-0.09125150615970294,0.9131658673286438,3.4166666666666665,15.0,16.0,0.2,0.07985227144104161,0.25,0.75,0.08333333333333333,0.08333333333333333,0.20833333333333334,360.0,328.0,0.08549151232160157,0.08338858797101349,0.7039102834831106,0.0021029260058455525,0.0037438525697557727,1.0,train,1,3,2026-04-20T08:18:12.000811+00:00,3,0.9111111111111111,24,0.45655239381336404,0.10062866971859531,0.5666666666666667,0.5972222222222222,0.9034722222222222,0.8097222222222222,0.9972222222222222,0.6657407407407407,1.0,0.0,0.002777777777777778,0.45280548756018457,0.5016877798127798,3.4166666666666665,0.0,0.20833333333333334,0.08333333333333333,0.08,12.0,3.0
0.5669659875988553,0.21710004651651815,0.7296511627906976,0.75,0.8991279069767443,0.833139534883721,0.9651162790697675,0.7751937984496124,1.0,0.0,0.0029069767441860465,1.0,-0.0278341730861643,0.9361328482627869,4.208333333333333,14.333333333333334,16.0,0.16279069767441862,0.1592638668536657,0.4166666666666667,0.5833333333333334,0.041666666666666664,0.041666666666666664,0.125,344.0,328.0,0.039088331872956524,0.03553129281144499,0.7149903030395962,0.003557039080793241,0.0067034699433786045,1.0,train,1,4,2026-04-20T08:25:43.424270+00:00,4,0.9534883720930233,24,0.5669659875988553,0.21710004651651815,0.7296511627906976,0.75,0.8991279069767443,0.833139534883721,0.9651162790697675,0.7751937984496124,1.0,0.0,0.0029069767441860465,0.5692319573571958,0.6316705326469595,4.208333333333333,0.0,0.125,0.041666666666666664,0.08,12.0,2.3333333333333335
0.5553685521711862,0.2109489539573773,0.6441176470588236,0.8,0.8910661764705882,0.7821323529411766,1.0,0.8058823529411765,1.0,0.0,0.01764705882352941,1.0,-0.035235118975534156,0.9401935338973999,4.416666666666667,14.166666666666666,16.0,0.15294117647058825,0.1711948553395922,0.4583333333333333,0.5416666666666666,0.08333333333333333,0.08333333333333333,0.125,340.0,308.0,0.01567729462122215,0.010652691676196728,0.7140795079713034,0.005024603947386031,0.009655375291709309,1.0,train,1,5,2026-04-20T08:33:19.876796+00:00,5,0.9058823529411765,24,0.5553685521711862,0.2109489539573773,0.6441176470588236,0.8,0.8910661764705882,0.7821323529411766,1.0,0.8058823529411765,1.0,0.0,0.01764705882352941,0.5572494810888023,0.6359821428571429,4.416666666666667,0.0,0.125,0.08333333333333333,0.08,12.0,2.1666666666666665
0.49304801568163636,0.2183528548399238,0.5316091954022989,0.5632183908045977,0.8888695037401935,0.7777390074803867,1.0,0.7001915708812261,1.0,0.0,0.0,1.0,-0.0943976882042299,0.8842340111732483,4.625,14.5,16.0,0.1724137931034483,0.12999209817959817,0.375,0.625,0.16666666666666666,0.16666666666666666,0.25,348.0,284.0,0.08672908215429372,0.0783808420504063,0.7201173355619253,0.00834823976297622,0.013827407178476917,1.0,train,1,6,2026-04-20T08:40:11.112854+00:00,6,0.8160919540229885,24,0.49304801568163636,0.2183528548399238,0.5316091954022989,0.5632183908045977,0.8888695037401935,0.7777390074803867,1.0,0.7001915708812261,1.0,0.0,0.0,0.48537535665530457,0.5611964031339032,4.625,0.0,0.25,0.16666666666666666,0.08,12.0,2.5
0.5795012938954457,0.3172915765058387,0.6512261580381471,0.6512261580381471,0.8984170234851434,0.7968340469702867,1.0,0.8128973660308809,1.0,0.0,0.0027247956403269754,1.0,0.04857951047391268,0.9031091928482056,4.333333333333333,15.291666666666666,16.0,0.21525885558583105,0.07158182710883394,0.20833333333333334,0.7916666666666666,0.08333333333333333,0.08333333333333333,0.25,367.0,335.0,-0.06730880692350129,-0.07124645229595811,0.6936008143780836,0.00393764533354741,0.009043559134456055,1.0,train,1,7,2026-04-20T08:47:51.509150+00:00,7,0.9128065395095368,24,0.5795012938954457,0.3172915765058387,0.6512261580381471,0.6512261580381471,0.8984170234851434,0.7968340469702867,1.0,0.8128973660308809,1.0,0.0,0.0027247956403269754,0.5870352592977307,0.630885760803524,4.333333333333333,0.0,0.25,0.08333333333333333,0.08,12.0,3.2916666666666665
0.5503444284235048,0.22505419275188368,0.600925925925926,0.7351851851851853,0.9252645502645502,0.8505291005291006,1.0,0.8444444444444444,1.0,0.0,0.002777777777777778,1.0,-0.09793327457995879,0.9413042068481445,4.333333333333333,15.0,16.0,0.2,0.09846578018501391,0.25,0.75,0.125,0.125,0.16666666666666666,360.0,312.0,0.062309657133972414,0.04636407862059199,0.7842520921586607,0.01594558122219475,0.022160772725611767,1.0,train,1,8,2026-04-20T08:55:35.416093+00:00,8,0.8666666666666667,24,0.5503444284235048,0.22505419275188368,0.600925925925926,0.7351851851851853,0.9252645502645502,0.8505291005291006,1.0,0.8444444444444444,1.0,0.0,0.002777777777777778,0.5451547022857853,0.5966607942352912,4.333333333333333,0.0,0.16666666666666666,0.125,0.08,12.0,3.0
0.4461493832761221,0.09103819758176376,0.47277936962750716,0.5816618911174785,0.932871128394051,0.8657422567881021,1.0,0.839541547277937,1.0,0.0,0.03151862464183381,1.0,-0.01560932039189817,0.9395884275436401,5.041666666666667,14.541666666666666,16.0,0.17478510028653296,0.10750887916284257,0.4166666666666667,0.5833333333333334,0.041666666666666664,0.041666666666666664,0.16666666666666666,349.0,333.0,0.0024884451042955836,-0.010832994751207106,0.7294119803441895,0.013321440413069372,0.02185475500380921,1.0,train,1,9,2026-04-20T09:03:09.308473+00:00,9,0.9541547277936963,24,0.4461493832761221,0.09103819758176376,0.47277936962750716,0.5816618911174785,0.932871128394051,0.8657422567881021,1.0,0.839541547277937,1.0,0.0,0.03151862464183381,0.4546739870352287,0.5087749321756675,5.041666666666667,0.0,0.16666666666666666,0.041666666666666664,0.08,12.0,2.5416666666666665
0.5020456420203635,0.12031334446889799,0.6607142857142857,0.6875,0.8483300264550264,0.7293981481481482,0.9672619047619048,0.8501984126984128,0.9940476190476191,0.002976190476190476,0.041666666666666664,1.0,6.86429086185637e-07,0.8997349143028259,4.833333333333333,14.0,16.0,0.14285714285714285,0.14998727521945232,0.5,0.5,0.08333333333333333,0.08333333333333333,0.16666666666666666,336.0,304.0,0.02356723708836446,0.00795961112568253,0.6893385453149676,0.015607623285362885,0.025589991666792513,1.0,train,1,10,2026-04-20T09:10:58.748450+00:00,10,0.9047619047619048,24,0.5020456420203635,0.12031334446889799,0.6607142857142857,0.6875,0.8483300264550264,0.7293981481481482,0.9672619047619048,0.8501984126984128,0.9940476190476191,0.002976190476190476,0.041666666666666664,0.5034218246661102,0.563721743398214,4.833333333333333,0.0,0.16666666666666666,0.08333333333333333,0.08,12.0,2.0
